id,Type,Date,Distance,Moving Time,Name,Avg HR,Intensity,Load
i166612376,Run,2026-07-17T11:08:37,3338.78,1194,Munich Running,157,77.427414,20
i166612374,Run,2026-07-15T19:51:16,5850.66,2070,Munich Running,171,91.36644,48
i166612371,WeightTraining,2026-07-14T18:28:58,0.0,3295,Strength,114,43.666687,15
i166612362,Run,2026-07-13T20:15:15,3056.4,1157,Munich Running,156,76.72289,19
i166612360,Ride,2026-07-12T20:27:18,21296.77,5981,Munich Cycling,109,36.343246,27
i166612356,WeightTraining,2026-07-11T13:14:15,0.0,4855,Strength,126,51.671684,36
i166612355,Run,2026-07-09T19:44:28,471.73,160,Munich Running,146,,2
i166612350,Run,2026-07-09T18:58:20,4050.46,1967,Munich Running,141,60.890884,21
i166612346,WeightTraining,2026-07-08T19:00:10,0.0,3820,Strength,113,45.54541,22
i166612343,Run,2026-07-07T17:22:40,2271.37,940,Munich Running,152,73.10708,14
i166612342,Ride,2026-07-04T13:31:03,100146.91,20459,Munich Cycling,149,68.472374,278
i166612340,WeightTraining,2026-07-02T19:05:52,0.0,3772,Strength,101,35.23321,13
i166612336,WeightTraining,2026-06-30T19:24:18,0.0,3834,Strength,93,29.073887,9
i166612332,WeightTraining,2026-06-29T18:48:54,0.0,3220,Strength,103,35.074146,11
i166612327,Ride,2026-06-28T21:05:31,8553.71,1987,Munich Cycling,118,44.0372,11
i166612314,OpenWaterSwim,2026-06-28T19:45:25,111.88,847,Munich Open Water Swimming,95,28.485435,3
i166612312,Ride,2026-06-28T19:03:42,8589.52,2348,Munich Cycling,119,45.05333,14
i166612311,Ride,2026-06-25T20:37:38,8450.29,2068,Munich Cycling,110,36.2308,8
i166612306,OpenWaterSwim,2026-06-25T19:38:16,93.01,641,Munich Open Water Swimming,83,18.09891,1
i166612303,Ride,2026-06-25T19:00:37,8084.16,1956,Munich Cycling,129,50.709255,16
i166612302,Run,2026-06-24T19:53:59,2293.49,1010,Munich Running,159,77.80368,17
i166612301,WeightTraining,2026-06-24T18:17:41,0.0,3260,Strength,107,39.325394,14
i166612297,Ride,2026-06-23T20:14:27,9094.17,2333,Munich Cycling,114,39.69642,11
i166612294,OpenWaterSwim,2026-06-23T19:56:23,39.98,172,Munich Open Water Swimming,115,,1
i166612293,Run,2026-06-23T19:20:12,2292.64,941,Munich Running,160,78.19623,16
